AddressLine,Suburb,PostCode,PropertyType,BuildingSize,EER,BedRooms,Bathroosm,Parking,BlockSize,AgencyName,ListingDate,ContractDate,TransferDate,Purpose,UV_Value,TranserAmount
115/2 Newchurch Street,Coombs,2611,APARTMENT,74,6,2,2,2,9759.0,McCann Properties,2022-06-08T00:00:00,2022-07-05T00:00:00,2022-08-19,MULTIPLE UNIT DWELLING,62320.0,576000.0
3/56 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9364.0,N/A,,2021-02-16T00:00:00,2022-08-19,MULTIPLE UNIT DWELLING,,639900.0
13 Duchesne Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,300.0,N/A,,2021-08-16T00:00:00,2022-08-19,SINGLE RESIDENTIAL DWELLING,,475000.0
161/41 Philip Hodgins Street,Wright,2611,N/A,N/A,N/A,N/A,N/A,N/A,17935.0,N/A,,2022-06-23T00:00:00,2022-08-19,MULTIPLE UNIT DWELLING,,535000.0
28/2 Newchurch Street,Coombs,2611,N/A,N/A,N/A,N/A,N/A,N/A,9759.0,N/A,,2022-07-07T00:00:00,2022-08-18,MULTIPLE UNIT DWELLING,,380000.0
123/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2020-12-23T00:00:00,2022-08-18,MULTIPLE UNIT DWELLING,,531000.0
64A McMichael Terrace,Denman Prospect,2611,TOWNHOUSE,144,6,3,3,2,,Belle Property Canberra,2022-07-21T00:00:00,2022-08-18T00:00:00,,,111800.0,750000.0
10 Malcolm Cole Terrace,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,358.0,N/A,,2022-06-24T00:00:00,2022-08-17,SINGLE RESIDENTIAL DWELLING,,710000.0
11 Willesee Rise,Coombs,2611,HOUSE,253,6,4,2,2,845.0,Hayman Partners,2022-02-24T00:00:00,2022-05-27T00:00:00,2022-08-17,SINGLE RESIDENTIAL DWELLING,535000.0,2010000.0
118/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2021-07-22T00:00:00,2022-08-16,MULTIPLE UNIT DWELLING,,525900.0
133/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2020-12-23T00:00:00,2022-08-16,MULTIPLE UNIT DWELLING,,536900.0
9 Duchesne Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,250.0,N/A,,2021-09-06T00:00:00,2022-08-16,SINGLE RESIDENTIAL DWELLING,,400000.0
105/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2020-12-04T00:00:00,2022-08-16,MULTIPLE UNIT DWELLING,,536900.0
3 Duchesne Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,250.0,N/A,,2021-08-16T00:00:00,2022-08-15,SINGLE RESIDENTIAL DWELLING,,400000.0
57/20 Gifford Street,Coombs,2611,APARTMENT,130,6,4,3,2,,Hayman Partners,2022-06-23T00:00:00,2022-08-12T00:00:00,,,,815000.0
46 Arthur Blakeley Way,Coombs,2611,N/A,N/A,N/A,N/A,N/A,N/A,200.0,N/A,,2022-06-16T00:00:00,2022-08-12,SINGLE RESIDENTIAL DWELLING,,859000.0
68/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2021-11-01T00:00:00,2022-08-12,MULTIPLE UNIT DWELLING,,409900.0
221/30 Philip Hodgins Street,Wright,2611,APARTMENT,78,6,2,2,1,,Civium Property Group - Residential,2022-07-21T00:00:00,2022-08-12T00:00:00,,,45900.0,496000.0
30/1 Gifford Street,Coombs,2611,TOWNHOUSE,167,5.5,3,2,2,14947.0,Luton Properties Weston Creek and Molonglo Valley,2022-06-08T00:00:00,2022-06-23T00:00:00,2022-08-12,MULTIPLE UNIT DWELLING,54316.0,810000.0
68/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2020-10-09T00:00:00,2022-08-12,MULTIPLE UNIT DWELLING,,324900.0
6 Batterham Crescent,Denman Prospect,2611,HOUSE,270,5.5,4,2,2,579.0,Independent Woden,2022-06-16T00:00:00,2022-07-10T00:00:00,2022-08-10,SINGLE RESIDENTIAL DWELLING,735000.0,1437500.0
42/2 Peter Cullen Way,Wright,2611,APARTMENT,76,6,2,2,1,,Belle Property Canberra,2022-07-21T00:00:00,2022-08-09T00:00:00,,,53856.0,585000.0
10 Chaloupka Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,655.0,N/A,,2022-05-26T00:00:00,2022-08-09,SINGLE RESIDENTIAL DWELLING,,475000.0
15 Duchesne Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,281.0,N/A,,2021-08-11T00:00:00,2022-08-09,SINGLE RESIDENTIAL DWELLING,,450000.0
112/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2021-06-07T00:00:00,2022-08-08,MULTIPLE UNIT DWELLING,,399900.0
